lat,lon,fullnamero
-9.65,160.266667,Vungana
-8.4,160.833333,Macedonia
-9.266667,159.65,Yenton Point
-9.05,159.033333,Lokemi Point
-8.383333,157.866667,Tusutekapini Island
-9.716667,159.716667,Onesere Point
-8.016667,157.6,Tusumine
-8.016667,157.6,Tusamine Island
-6.65,156.6,Vuranggo Point
-9.4,159.883333,Mamara Point
-8.15,157.066667,Petupetu Island
-9,160.1,Hanipana
-9,160.1,Taghogholi Point
-9.733333,160.35,Kaikaloka
-11,166.25,Santa Cruz Islands
-11,166.25,Nitendi
-11,166.25,Queen Charlotte Islands
-9.6,160.65,Pope Rock
-9.8,160.55,Na Lao
-10.833333,162.2,Namarau Island
-7.55,158.45,Mount Walker
-8.283333,157.516667,Nusakoe Island
-7.566667,158.716667,Ikiti Island
-9.35,159.583333,Motu Point
-11.3,166.466667,Moresby Point
-8.233333,157.1,Lumbararo Island
-8.183333,157.666667,Keru Island
-8.633333,158.15,Kurungarao Islands
-8.633333,158.15,Karungarao Islands
-8.516667,158.133333,Karumaneke Islands
-6.783333,156.7,Tarumba
-6.783333,156.7,Taromba Mountain
-8.35,157.85,Monggo Island
-12.883333,160.5,South Reef
-12.883333,160.5,South Indispensable Reef
-7.033333,156.033333,Kanaang Island
-8.183333,157.083333,Savanga Island
-9.883333,167.15,Papa
-9.883333,167.15,Treasurers Island
-8.3,157.333333,Naru Island
-8.316667,156.533333,Middle Hill
-9.716667,160.383333,Kapinakei
-9.516667,161.3,Pora
-7.983333,156.933333,Poporo Point
-9.366667,159.683333,Mount Tangi
-7.383333,157.683333,Tamar Islands
-9.816667,160.183333,Mbolotola Point
-7.466667,158.4,Rapita Islands
-8.033333,156.8,Ringgo Kuundu Island
-8.283333,157.133333,Samarae
-8.283333,157.133333,Samarai Island
-8.183333,157.183333,Nusa Niniru Island
-8.183333,157.183333,Nusa Niniru
-9.8,160,Peombughea Point
-8.633333,158.116667,Ngarengare Island
-7.716667,158.566667,Rhodes Islands
-8.283333,157.433333,Mbanika Island
-8.45,158.033333,Mbangombango Island
-9.8,160.833333,Wilson Islands
-9.65,160.383333,Whirlpool Gorge
-8.283333,157.183333,Rokama Hite Island
-10.316667,166.283333,Nimanu
-10.316667,166.283333,Nibanga Nendi
-10.316667,166.283333,Nibanga
-10.316667,166.283333,Banga Ndeni
-9.4,159.6,Tasiloki Point
-8.7,157.816667,Sope Island
-8.7,157.816667,Sepe
-9.7,160.416667,Na Kapa
-9.466667,161.233333,Ruokoa Island
-8.033333,156.8,Panjua Mburumburu Island
-8.283333,157.533333,Panggupanggu Island
-8.416667,157.933333,Landoro Island
-8.15,157.016667,Nggomu Island
-8.6,157.866667,Karukate Island
-8.6,157.866667,Kokoseti Island
-8.366667,157.866667,Karubimbiana Islands
-8.55,158.1,Mount Loamu
-8.55,158.1,Mount Loama
-8.55,158.1,Mount Loanju
-8.283333,157.533333,Suritambuna River
-9.316667,161.066667,Sura’iro Island
-9.316667,161.066667,Rapid Island
-7.633333,156.716667,Tambitambi Island
-7.533333,158.7,Memehana Lavata Islands
-9.683333,159.7,Serapina
-8.316667,157.333333,Sepo Island
-8.966667,160.066667,Masipuai Rocks
-6.85,156.933333,Masilotu Island
-6.85,156.933333,Masiloto Island
-9.366667,159.6,Marumbo Beach
-12.216667,160.066667,North Indispensable Reef
-12.216667,160.066667,North Reef
-8.283333,157.383333,Razu Island
-9.266667,159.633333,Koneda Point
-9.266667,159.633333,Tana Ande Point
-8.3,157.516667,Sanikeonggo Island
-8.366667,157.866667,Tusutekili Island
-8.75,160.85,Tabaa Saddle
-8.333333,157.15,Kundu Island
-8.316667,157.15,Kundu Hite Island
-8.433333,157.95,Ngoete Islands
-9.466667,159.6,Kokomu Point
-6.8,156.566667,Sakatokana Ridge
-6.8,156.566667,Saketokana Ridge
-8.15,157.133333,Nusa Pindiki
-8.15,157.133333,Nusa Pindiki Island
-8.016667,156.75,Njingono Island
-8.016667,156.75,Njingoro Island
-8.066667,156.85,Patumate Island
-8.166667,156.983333,Lumo Hite Island
-8,156.95,Nusa Nanavo Island
-8,156.95,Nusa Nanavo
-7.45,157.85,Sailors Island
-7.583333,158.8,Zoli Island
-6.966667,156.7,Ziluzilu Rocks
-9.816667,160.133333,Kondokachi Point
-7.6,158.783333,Totoduru Island
-6.916667,156.683333,Pasingguta Island
-6.916667,156.683333,Pasinggutu Island
-10.2,166.216667,Round Island
-8.233333,157.15,Round Hill
-8.033333,156.8,Rosia Mburumburu Island
-9.283333,161.266667,Walohii Rock
-7.65,158.433333,Lologho Islands
-9.716667,160.35,Mbumbumate
-9.35,159.583333,Panukurutu Island
-9.433333,161.45,A’uru Rock
-9.433333,161.45,Aulu Island
-8.283333,157.516667,Kambokinonggu Island
-8.283333,157.516667,Kambokinanggu Island
-8.45,160.85,Anukwe
-10.3,166.233333,Nanamboli
-9.4,160.283333,Mberande Point
-9.4,160.283333,Berande Point
-9.283333,159.633333,Vatupiu
-9.283333,159.633333,Laulavi Point
-7.6,158.816667,Repana Island
-9.233333,161.233333,Raraususia
-7.966667,157.533333,Njela Point
-8.233333,157.116667,Elonava Hite Island
-8.466667,156.916667,Cook Submarine Volcano
-9.45,159.7,Cone Peak
-9.45,159.7,Vungasilo
-9.183333,160.2,Pukunambua Island
-9.5,160.483333,Fairway Rock
-6.933333,156.05,Raumoana Island
-8.233333,157.716667,Mount Evoria
-8.233333,157.716667,Mount Evorai
-11.916667,170.2,Fataka
-11.916667,170.2,Mitre Island
-11.916667,170.2,Fatutaka
-11.916667,170.2,Fatakra
-9.283333,159.616667,Hautambu Point
-11.666667,166.8,Itchaou Point
-9.1,161.2,Airata Island
-7.35,157.183333,Sikaena Island
-9.083333,160.35,Vatumadoli Point
-9.083333,160.35,Vatumandoli Point
-7.833333,156.566667,Binskin
-7.833333,156.566667,Inia Island
-8.516667,158.033333,Ingoho Islands
-8.516667,158.033333,Inghoho Islands
-9.8,160.233333,Ina Vuni Point
-9.733333,160.366667,Pita Chichi
-9.983333,167.3,Bass Island
-9.3,159.6,Hihirinambo Point
-9.716667,159.716667,Koragha Point
-9.25,159.716667,Cape Esperance
-9.25,159.716667,Tana Matomba Point
-9.683333,160.166667,Taranamba Pass
-8.416667,160.833333,Tarana
-8.433333,159.816667,Toghamagnivo Point
-8.433333,159.816667,Toghamagniva
-9.8,159.983333,Ina Ghile
-9.516667,160.1,Bloody Nose Ridge
-6.8,156.516667,Vuruvasu Point
-8.35,157.833333,Kuluhano Island
-8.35,157.833333,Vulahana Island
-8.35,157.833333,Kuluhana
-9.65,159.666667,Vatuanea Point
-6.866667,156.6,Vasoro Point
-7.35,157.166667,Vuraoto Islands
-9.35,159.75,Choilo
-6.683333,156.5,Mount Gaili
-9.716667,160.5,Vulahambahamba
-8.266667,157.516667,Hohopo Island
-10.783333,165.7,Baienga
-8.766667,160.7,Baelatofu Island
-8.766667,160.7,Baelatofu
-8.183333,159.55,Mount Kubonitu
-8.183333,159.55,Mount Sasari
-8.183333,159.55,Marescott
-9.766667,160.483333,Taumana
-8.516667,159.8,Haghajogha Point
-8.516667,159.8,Cordelia Point
-8.266667,159.75,Haevo
-8.933333,160.75,Gwaura Mala Point
-8.25,159.6,Mount Bubulei
-8.15,157.066667,Grant Island
-10.75,166.066667,Cape Barrington
-7.716667,158.533333,Barrier Islands
-9.405556,160.155556,Lasa Point
-8.2,159.666667,Teranuli Point
-7.758333,156.533333,Black Rock
-7.716667,156.783333,Boko Point
-9.416667,160.283333,Talaura Point
-8.333333,157.25,Mbaboka
-8.166667,157.016667,Tent Island
-9.133333,159.816667,Savo Peak
-9.016667,160.25,Tanabolo Peak
-7.916667,158.766667,Tobona Island
-7.333333,158.05,Malandaro Island
-7.483333,158.416667,Kakatina Islands
-9.666667,160,Kavo Range
-9.433333,159.966667,Kola Ridge
-9.433333,159.966667,Kolaa Ridge
-9.433333,159.966667,Koli Ridge
-9.75,160.566667,Mount Notovia
-7.65,158.433333,Naruo Island
-8.316667,157.15,Mamburana Island
-9.183333,160.366667,Outside Islets
-9.183333,160.366667,Tanaindale Islets
-8.333333,160.716667,Mbembelu
-7.6,158.4,Soraka island
-8.35,157.266667,Elo Saghana Island
-8.4,157.316667,Papaleke Hite Island
-9.733333,160.416667,Lavindao
-7.85,159.066667,Bane Island
-8.283333,157.216667,Mbanga Island
-8.283333,157.216667,Baanga Island
-9.15,160.25,Mbarakui Point
-8.516667,158.016667,Anghana Island
-8.05,156.816667,Sepo Island
-8.233333,157.116667,Malaghuna Island
-8.3,160.733333,Tauba Island
-8.333333,157.183333,Tatapuraka Island
-7.966667,156.933333,Mbumburana Island
-8.45,158.016667,Petu Islands
-8.266667,157.1,Ghalughalazi Point
-7.7,158.516667,Ghalama Island
-9.816667,160.016667,Charambalo Point
-9.416667,159.95,Matevale Point
-10.283333,166.266667,Fonofono
-10.283333,166.266667,Lomlom
-8.033333,159.083333,Sharp Peak
-8.658333,157.883333,Olana Point
-8.283333,157.333333,Mbagholae Island
-8.566667,157.816667,Tusungoete Island
-9.266667,161.25,Marou Rock
-9.266667,161.25,Tawanas Island
-8.283333,157.4,Novele Island
-8.383333,157.233333,Black Rock
-8.133333,156.916667,Cross Islet
-7.833333,157.1,Sosoruana Island
-7.833333,157.1,Sosoruana Islands
-7.833333,157.1,Susurukana Island
-9.816667,160.733333,Njepulo
-9.783333,160.6,Na Kai
-7.016667,156.75,Kumbokumbo Point
-9.416667,160.266667,Shock Point
-9.483333,159.633333,Hat Hill
-8.316667,159.816667,Gao Rock
-8.266667,157.166667,Kakia Island
-8.283333,157.366667,Hapara Island
-9.75,160.416667,Mount Toghasa
-9.133333,160.416667,Tanatau Rock
-9.133333,160.416667,Tanatau
-9.133333,160.416667,Tu Ne Tau
-9.133333,160.416667,Asses Ears
-8.3,157.216667,Mbembea Island
-8.15,157.016667,Lumo Island
-8.15,157.016667,Lumo Hite
-9.416667,160.383333,Mbokoaghau Point
-9.416667,160.383333,Bokoagau Point
-8.966667,160.016667,Nembelona Island
-9.4,160.35,Taivo Point
-9.4,160.35,Taivu Point
-9.4,160.016667,Tuambuto Point
-8.283333,157.533333,Nusambekolo Island
-7.666667,158.366667,Nairn
-7.666667,158.366667,Hilihavo Island
-9.766667,160.383333,Sinoli
-8.566667,157.833333,Uvikiki Island
-7.6,158.4,Varagia Islands
-8.4,157.3,Lumbari Island
-8.75,157.816667,Riana Island
-8,159,Solomon Islands
-8,159,Islas de Salomón
-9.683333,160.05,Mount Balamarau
-9.683333,160.05,Vatulumalolonuha
-9.683333,160.05,Mount Bulamarau
-8.35,157.283333,Piti Uloso Island
-10.266667,166.3,Nibanga Temau
-10.266667,166.3,Nibanga
-10.266667,166.3,East Island
-8.4,157.333333,Nusambongi Island
-6.8,156.6,Vanakala Peak
-8.166667,157,Takinggili Island
-8.3,157.183333,Nusa Mbalava Island
-8.3,157.183333,Nusa Mbalava
-9.65,160.183333,Mbongana
-8.994167,157.970556,Kavachi Submarine Volcano
-9.466667,160.433333,Korombusu Point
-9.466667,160.433333,Nggura Point
-9.466667,160.433333,Gura Point
-8.966667,159.216667,Kumshio
-8.516667,157.85,Mount Kutelike
-8.516667,157.85,Mount Kuteake
-8.533333,159.8,Sogha Point
-8.533333,159.8,Soga Point
-8.15,157.133333,Nimunimu Island
-6.933333,156.716667,Korosekana
-8.833333,160.733333,Waibana Island
-9.183333,161.166667,Waena
-9.15,160.866667,Asimana Point
-8.95,160.116667,Sealark Rocks
-8.95,160.116667,Vatukulita Rocks
-8.883333,161.066667,Mark Islet
-8.883333,161.066667,Olofafo Island
-7.816667,159.016667,Moumolu
-10.683333,162.266667,Hunarite Point
-10.683333,162.266667,Fanarite Point
-8.35,160.783333,Koko’efou
-8.35,159.5,Huleo Island
-8.35,159.5,Huleoi Island
-7.65,158.483333,Kora Islands
-6.833333,156.533333,Moli Island
-6.833333,156.533333,Mole Island
-6.783333,156.766667,Mount Kivilae
-8.883333,161.083333,Tree Point
-7.5,158.633333,Sesehura
-9.116667,160.383333,Cleverley Hill
-9.1,159.3,Lamu
-11.65,166.9,Vanikoro Islands
-11.65,166.9,Vanikolo Islands
-11.65,166.9,La Pérouse Islands
-8.866667,160.733333,Palm Point
-7.2,157.3,Munggarokoso Island
-7.9,156.95,Mongga Island
-8.4,157.333333,Varatanguri Island
-8.266667,157.516667,Motupigha Island
-8.866667,161.066667,West Point
-8.4,160.816667,Ta’efata
-9.733333,160.216667,Votuvotu
-8.45,159.733333,Mahagha Range
-8.45,159.733333,Mahaga Range
-8.466667,157.366667,Mount lonuoreke
-8.466667,157.366667,Rendova
-9.733333,160.783333,Pari Island
-9.583333,160.133333,Gold Ridge
-8.516667,157.933333,Michi Island
-9.85,167.133333,Obelisk Island
-9.733333,160,Mount Vatumangau
-9.25,159.716667,Isisu Point
-8.3,157.35,Kakarumu Island
-9.75,160.45,Kamahasi
-8.266667,157.116667,Onduali Island
-7.466667,157.7,Gibson Island
-6.966667,156.716667,Sarepoto Point
-11.633333,169.833333,Anuta
-11.633333,169.833333,Cherry Island
-11.633333,169.833333,Anuda Island
-7.683333,158.483333,Koela Islands
-8.266667,157.1,Vatua Island
-9.7,160.466667,Hambusi
-9.333333,160.3,Pari Pile Island
-9.333333,160.3,Tanapari Island
-9.333333,160.3,Tanapari Cay
-9.416667,159.9,Trench’s Beach
-7.983333,156.933333,Hoknai Islands
-6.766667,156.7,Mount Kisa
