LAT,LONG,DSG,CC1,ADM1,NT,FULL_NAME_RO
6.774444,158.204167,ISL,FM,2,V,Reiappu-tō
6.774444,158.204167,ISL,FM,2,N,Laiap
6.774444,158.204167,ISL,FM,2,V,Laiap Island
9.534167,138.131667,PT,FM,4,V,Lanemaut
9.534167,138.131667,PT,FM,4,N,Laenmaqut
9.534167,138.131667,PT,FM,4,V,Lanmuut
9.493889,138.1275,BLHL,FM,4,V,Lanesugow
9.493889,138.1275,BLHL,FM,4,N,Laeneesigow
9.493889,138.1275,BLHL,FM,4,V,Lanesigow
9.497778,138.133333,BLHL,FM,4,V,Lanengulu
9.497778,138.133333,BLHL,FM,4,N,Laeneenguluw
7.335278,151.770278,PT,FM,3,N,Unun en Episaton
7.366667,151.566667,PT,FM,3,V,Cap Unubis
7.366667,151.566667,PT,FM,3,N,Unun en Epin
8.693333,152.340278,ISL,FM,3,V,Eor Island
8.693333,152.340278,ISL,FM,3,V,Yoare
8.693333,152.340278,ISL,FM,3,V,Eoru-tō
8.693333,152.340278,ISL,FM,3,N,Eor
9.533333,138.116667,HLL,FM,4,N,Ganmurchig
9.536944,138.153889,HLL,FM,4,V,Blig
9.536944,138.153889,HLL,FM,4,N,Biliig
9.536944,138.153889,HLL,FM,4,V,Bilig
9.562778,138.149167,HLL,FM,4,V,Bileewachëg
9.562778,138.149167,HLL,FM,4,N,Bileewachëq
9.562778,138.149167,HLL,FM,4,V,Bilawache
9.562222,138.145556,HLL,FM,4,N,Bileeroek
9.562222,138.145556,HLL,FM,4,V,Bilerok
9.562222,138.145556,HLL,FM,4,V,Bileerock
9.518056,138.107778,HLL,FM,4,V,Bilengel
9.518056,138.107778,HLL,FM,4,N,Bileengeel
9.561111,138.144444,HLL,FM,4,N,Bileeduug
9.561111,138.144444,HLL,FM,4,V,Bileduug
9.561111,138.144444,HLL,FM,4,V,Biledug
5.864722,157.336667,ISL,FM,2,N,Bigen Karakar
5.864722,157.336667,ISL,FM,2,V,Bigen Karakar Island
5.864722,157.336667,ISL,FM,2,V,Pikenkoreja
8.120556,140.423333,ISL,FM,4,N,Bigelor
8.159722,140.346667,ISL,FM,4,N,Bigelimol
7.367222,151.700278,PT,FM,3,V,Wunuunen Kuumur
7.367222,151.700278,PT,FM,3,V,Fum
7.367222,151.700278,PT,FM,3,N,Unun en Kum
5.491944,153.779167,ISL,FM,3,V,Sapunuuru To
5.491944,153.779167,ISL,FM,3,V,Siapounor
5.491944,153.779167,ISL,FM,3,V,Saponor
5.491944,153.779167,ISL,FM,3,V,Saponodj
5.491944,153.779167,ISL,FM,3,V,Sopunor Island
5.491944,153.779167,ISL,FM,3,V,Sapunūru-tō
5.491944,153.779167,ISL,FM,3,N,Sopunur
5.491944,153.779167,ISL,FM,3,V,Saponoch
5.491944,153.779167,ISL,FM,3,V,Sopunur Island
7.45,151.9,PEN,FM,3,V,Sabuk
7.45,151.9,PEN,FM,3,V,Sobuk
7.45,151.9,PEN,FM,3,N,Sopuk
7.365,151.785,PT,FM,3,V,Ununen Neawachang
7.365,151.785,PT,FM,3,N,Unun en Sopinfou
7.36,151.860556,CAPE,FM,3,V,Nangko
