RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
1,-1506353,9332354,-20,155,20:00:00S,155:00:00E,56KQC0924387269,SE56-16,H,SEA,,OS,0,,,BP,N,eng,,,CORALSEA,Coral Sea,Coral Sea,CORALSEA,Coral Sea,Coral Sea,,2007-06-15,"1,2,3,4,5,6,7,8,9",,,,2007-06-15,,
5,-2203522,-3049690,-6.916667,155.7,6:55:00S,155:42:00E,56MQT9837834616,SB56-12,H,CHNM,,PP,0,,,BP,N,,,,WESTERNENTRANCE,Western Entrance,Western Entrance,WESTERNENTRANCE,Western Entrance,Western Entrance,,2002-11-08,"1,2,3,4,5",1,,,2002-11-08,,
5,-1553275,-2210635,-9.866667,160.8,9:52:00S,160:48:00E,57LXK9738308798,SC57-08,H,CRKT,,BP,0,,,,N,,,,VUNIVATUCREEK,Vunivatu Creek,Vunivatu Creek,VUNIVATUCREEK,Vunivatu Creek,Vunivatu Creek,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552510,-2209649,-9.133333,159.816667,9:08:00S,159:49:00E,57LWK8973390305,SC57-07,H,SPNG,,BP,0,,,,N,,,,TOAKOMATA,Toakomata,Toakomata,TOAKOMATA,Toakomata,Toakomata,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1549889,-2206251,-9.333333,159.633333,9:20:00S,159:38:00E,57LWK6954968233,SC57-07,H,SPNG,,BP,0,,,,N,,,,NGGURARA,Nggurara,Nggurara,NGGURARA,Nggurara,Nggurara,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546795,-2202384,-8.8,158.2,8:48:00S,158:12:00E,57LVL1201827165,SC57-02,H,STM,,BP,0,,,,N,,,,KELE,Kele,Kele,KELE,Kele,Kele,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1544967,-2199831,-8.05,158.966667,8:03:00S,158:58:00E,57LVM9632710174,SC57-02,H,SHOL,,BP,0,,,,N,,,,AYLENSHOAL,Aylen Shoal,Aylen Shoal,AYLENSHOAL,Aylen Shoal,Aylen Shoal,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546947,-2202581,-9.566667,159.65,9:34:00S,159:39:00E,57LWK7133142430,SC57-07,H,STM,,BP,0,,,,N,,Kochichi,,KOCHICHIRIVER,Kochichi River,Kochichi River,KOCHICHIRIVER,Kochichi River,Kochichi River,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1546932,-2202561,-9.283333,160.316667,9:17:00S,160:19:00E,57LXK4461873555,SC57-07,H,SHOL,,BP,0,,,,N,,,,KNOWLESPATCHES,Knowles Patches,Knowles Patches,KNOWLESPATCHES,Knowles Patches,Knowles Patches,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548097,-2204062,-9.533333,161.283333,9:32:00S,161:17:00E,57LYK5065545356,SC57-08,H,STM,,BP,0,,,,N,,,,MAANAORUA,Ma’ana’orua,Ma'ana'orua,MAANAORUA,Ma’ana’orua,Ma'ana'orua,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552845,-2210082,-6.933333,156.7,6:56:00S,156:42:00E,57MTN4586033005,SB57-09,H,BAY,,BP,0,,,,V,,,,VAGARABAY,Vagara Bay,Vagara Bay,VAGARABAY,Vagara Bay,Vagara Bay,,1994-01-05,"1,2,3,4,5",,,,1993-09-01,,
5,-1552845,-2210087,-6.933333,156.7,6:56:00S,156:42:00E,57MTN4586033005,SB57-09,H,BAY,,BP,0,,,,N,,,,VAGHARABAY,Vaghara Bay,Vaghara Bay,VAGHARABAY,Vaghara Bay,Vaghara Bay,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552837,-2210074,-9.4,160.283333,9:24:00S,160:17:00E,57LXK4090960667,SC57-07,H,STM,,BP,0,,,,N,,Vaeavo,,VAEAVORIVER,Vaeavo River,Vaeavo River,VAEAVORIVER,Vaeavo River,Vaeavo River,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548578,-2204702,-9.666667,160.25,9:40:00S,160:15:00E,57LXK3714231190,SC57-07,H,STM,,BP,0,,,,N,,Matangga,,MATANGGARIVER,Matangga River,Matangga River,MATANGGARIVER,Matangga River,Matangga River,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547298,-2202999,-9.4,159.716667,9:24:00S,159:43:00E,57LWK7868560844,SC57-07,H,STM,,BP,0,,,,N,,Kombahea,,KOMBAHEARIVER,Kombahea River,Kombahea River,KOMBAHEARIVER,Kombahea River,Kombahea River,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547089,-2202759,-9.766667,160.7,9:46:00S,160:42:00E,57LXK8647019916,SC57-08,H,STM,,BP,0,,,,N,,Kolochirangga,,KOLOCHIRANGGARIVER,Kolochirangga River,Kolochirangga River,KOLOCHIRANGGARIVER,Kolochirangga River,Kolochirangga River,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547080,-2202750,-8.283333,159.716667,8:17:00S,159:43:00E,57LWL7892384308,SC57-03,H,STM,,BP,0,,,,N,,,,KOLOBIO,Kolobi’o,Kolobi'o,KOLOBIO,Kolobi’o,Kolobi'o,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551838,-2208814,-9.65,161.483333,9:39:00S,161:29:00E,57LYK7252932294,SC57-08,H,INLT,,BP,0,,,,N,,,,SUUMWAIMWEI,Su’umwaimwei,Su'umwaimwei,SUUMWAIMWEI,Su’umwaimwei,Su'umwaimwei,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551827,-2208802,-9.783333,161.933333,9:47:00S,161:56:00E,57LZK2182417142,SC57-08,H,HBR,,BP,0,,,,N,,,,SUUHASIMO,Su’u Hasimo,Su'u Hasimo,SUUHASIMO,Su’u Hasimo,Su'u Hasimo,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551823,-2208797,-9.166667,160.933333,9:10:00S,160:56:00E,57LYK1244186150,SC57-08,H,STM,,BP,0,,,,N,,,,SUU,Su’u,Su'u,SUU,Su’u,Su'u,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1553512,-2210928,-9.433333,159.95,9:26:00S,159:57:00E,57LXK0429657097,SC57-07,H,STM,,BP,0,,,,N,,,,WRIGHTCREEK,Wright Creek,Wright Creek,WRIGHTCREEK,Wright Creek,Wright Creek,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1553512,-2210208,-9.433333,159.95,9:26:00S,159:57:00E,57LXK0429657097,SC57-07,H,STM,,BP,0,,,,V,,,,VARACREEK,Vara Creek,Vara Creek,VARACREEK,Vara Creek,Vara Creek,,1994-01-05,"1,2,3,4,5",,,,1993-09-01,,
5,-1553510,-2210923,-9.25,161.25,9:15:00S,161:15:00E,57LYK4719576728,SC57-08,H,STM,,BP,0,,,,N,,,,WORAITARI,Woraitari,Woraitari,WORAITARI,Woraitari,Woraitari,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1553508,-2210921,-9.116667,160.183333,9:07:00S,160:11:00E,57LXK3003292037,SC57-07,H,RF,,BP,0,,,,N,,,,WOODFORDREEF,Woodford Reef,Woodford Reef,WOODFORDREEF,Woodford Reef,Woodford Reef,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548884,-2205037,-8.3,157.766667,8:18:00S,157:46:00E,57LUL6417982325,SC57-02,H,STM,,BP,0,,,,N,,,,MBEU,Mbeu,Mbeu,MBEU,Mbeu,Mbeu,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1551041,-2207767,-8.4,157.333333,8:24:00S,157:20:00E,57LUL1649371091,SC57-01,H,STM,,BP,0,,,,N,,,,REZO,Rezo,Rezo,REZO,Rezo,Rezo,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548586,-2204715,-9.316667,161.15,9:19:00S,161:09:00E,57LYK3615969420,SC57-08,H,STM,,BP,0,,,,N,,,,MATARIWAI,Matariwai,Matariwai,MATARIWAI,Matariwai,Matariwai,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550379,-2206926,-9.55,160.383333,9:33:00S,160:23:00E,57LXK5182544036,SC57-07,H,STM,,BP,0,,,,N,,,,PAKALU,Pakalu,Pakalu,PAKALU,Pakalu,Pakalu,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
