RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1553272,-2210629,-9.65,160.266667,9:39:00S,160:16:00E,57LXK3897833027,SC57-07,T,MT,,BP,0,,,,N,,,,VUNGANA,Vungana,Vungana,VUNGANA,Vungana,Vungana,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548113,-2204080,-8.4,160.833333,8:24:00S,160:50:00E,57LYL0186371009,SC57-04,T,ISLF,,BP,0,,,,N,,,,MACEDONIA,Macedonia,Macedonia,MACEDONIA,Macedonia,Macedonia,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1553515,-2210933,-9.266667,159.65,9:16:00S,159:39:00E,57LWK7139275600,SC57-07,T,PT,,BP,0,,,,N,,,,YENTONPOINT,Yenton Point,Yenton Point,YENTONPOINT,Yenton Point,Yenton Point,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547954,-2203862,-9.05,159.033333,9:03:00S,159:02:00E,57LWK0366399620,SC57-07,T,PT,,BP,0,,,,N,,,,LOKEMIPOINT,Lokemi Point,Lokemi Point,LOKEMIPOINT,Lokemi Point,Lokemi Point,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552717,-2209917,-8.383333,157.866667,8:23:00S,157:52:00E,57LUL7521973144,SC57-02,T,ISL,,BP,0,,,,N,,,,TUSUTEKAPINIISLAND,Tusutekapini Island,Tusutekapini Island,TUSUTEKAPINIISLAND,Tusutekapini Island,Tusutekapini Island,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550265,-2206768,-9.716667,159.716667,9:43:00S,159:43:00E,57LWK7861325831,SC57-07,T,PT,,BP,0,,,,N,,,,ONESEREPOINT,Onesere Point,Onesere Point,ONESEREPOINT,Onesere Point,Onesere Point,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552711,-2209911,-8.016667,157.6,8:01:00S,157:36:00E,57LUM4571313597,SC57-02,T,ISL,,BP,0,,,,N,,,,TUSUMINE,Tusumine,Tusumine,TUSUMINE,Tusumine,Tusumine,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1552711,-2209903,-8.016667,157.6,8:01:00S,157:36:00E,57LUM4571313597,SC57-02,T,ISL,,BP,0,,,,V,,,,TUSAMINEISLAND,Tusamine Island,Tusamine Island,TUSAMINEISLAND,Tusamine Island,Tusamine Island,,1994-01-05,"1,2,3,4,5",,,,1993-09-01,,
5,-1553315,-2210675,-6.65,156.6,6:39:00S,156:36:00E,57MTN3464964298,SB57-09,T,PT,,BP,0,,,,N,,,,VURANGGOPOINT,Vuranggo Point,Vuranggo Point,VURANGGOPOINT,Vuranggo Point,Vuranggo Point,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1548297,-2204324,-9.4,159.883333,9:24:00S,159:53:00E,57LWK9698560802,SC57-07,T,PT,,BP,0,,,,N,,,,MAMARAPOINT,Mamara Point,Mamara Point,MAMARAPOINT,Mamara Point,Mamara Point,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550601,-2207219,-8.15,157.066667,8:09:00S,157:04:00E,57LTL8698898610,SC57-01,T,ISL,,BP,0,,,,N,,,,PETUPETUISLAND,Petupetu Island,Petupetu Island,PETUPETUISLAND,Petupetu Island,Petupetu Island,,1994-01-05,"1,2,3,4,5",1,,,1993-09-01,,
